LatestNews-timestamp,title,link
1 Hour Ago,Here are the 3 big things we’re watching in the stock market in the week ahead,https://www.cnbc.com/2026/01/19/here-are-the-3-big-things-were-watching-in-the-stock-market-in-the-week-ahead.html
3 Hours Ago,Fed chief Powell to attend Supreme Court arguments on Trump bid to fire Lisa Cook,https://www.cnbc.com/2026/01/19/fed-powell-supreme-court-trump-lisa-cook.html
4 Hours Ago,"OpenAI to focus on ‘practical adoption’ in 2026, says finance chief Sarah Friar",https://www.cnbc.com/2026/01/19/openai-to-focus-on-practical-adoption-in-2026-says-finance-chief-sarah-friar.html
6 Hours Ago,Trump is going to Davos — here are the big names who aren’t,https://www.cnbc.com/2026/01/19/trump-world-economic-forum-davos-who-isnt-going.html
7 Hours Ago,How to make the most of your PTO this year,https://www.cnbc.com/2026/01/19/how-to-make-the-most-of-your-pto-and-vacation-time-this-year.html
7 Hours Ago,"65% of workers are interested in ‘microshifting’ schedules, says report",https://www.cnbc.com/2026/01/19/65percent-of-workers-are-interested-in-microshifting-their-schedules-says-new-report.html
8 Hours Ago,"Top red flags job seekers should watch out for in interviews, says career expert",https://www.cnbc.com/2026/01/19/top-3-red-flags-job-seekers-should-watch-out-for-in-interviews-says-career-expert.html
9 Hours Ago,Venezuela shows how locals turn to Tether as governments wobble,https://www.cnbc.com/2026/01/19/venezuelans-turned-to-tether-issued-usdt-stablecoin-as-its-government-wobbled.html
9 Hours Ago,Here’s what Trump’s push into mortgage bonds could mean for income investors,https://www.cnbc.com/2026/01/19/what-trumps-push-into-mortgage-bonds-could-mean-for-income-investors.html
9 Hours Ago,"These stocks are leading ‘meaningful breakthroughs’ in quantum computing, UBS says",https://www.cnbc.com/2026/01/19/these-stocks-are-seeing-breakthroughs-in-quantum-computing-ubs-says.html
9 Hours Ago,"Alibaba-backed startup climbs more than $500 million in value, sources say",https://www.cnbc.com/2026/01/19/alibaba-backed-startup-moonshot-ai-alibabi-backed-startup-chinese-ai-ipo.html
9 Hours Ago,"Stellantis stock off 43% as Jeep maker turns five, executes turnaround",https://www.cnbc.com/2026/01/19/stellantis-stock-stla-five-year-anniversary.html
10 Hours Ago,Greenland PM issues defiant rebuke over Trump’s tariff threats,https://www.cnbc.com/2026/01/19/greenland-nielsen-trump-tariffs-europe.html
11 Hours Ago,Gold and silver hit fresh highs as Greenland holds investor attention ,https://www.cnbc.com/2026/01/19/gold-silver-hit-record-highs-greenland-geopolitics-market-reaction.html
11 Hours Ago,"Putin invited to join Trump’s ‘Board of Peace,’ Kremlin says",https://www.cnbc.com/2026/01/19/putin-trump-board-of-peace-kremlin.html
11 Hours Ago,Here are the most exposed European exporters to Trump’s Greenland tariffs,https://www.cnbc.com/2026/01/19/trump-greenland-tariffs-exposed-exporters-europe.html
12 Hours Ago,Europe’s one key advantage over Trump as Greenland trade war looms,https://www.cnbc.com/2026/01/19/deutsche-bank-europe-trump-greenland-tariffs-trade-war-nato-us.html
12 Hours Ago,UK looks to work its magic on Trump to defuse Greenland tariff threat,https://www.cnbc.com/2026/01/19/uk-trump-starmer-greenland-tarrifs.html
13 Hours Ago,"BTS world tour sparks analyst upgrades, pushes South Korea’s Hybe shares to four-year high",https://www.cnbc.com/2026/01/19/bts-world-tour-sparks-analyst-upgrades-pushes-south-korea-hybe-shares-to-four-year-high.html
14 Hours Ago,Europe weighs using trade ‘bazooka’ against the U.S. as Greenland crisis deepens,https://www.cnbc.com/2026/01/19/europe-retaliatory-tariffs-aci-greenland-trump-threat-us.html
14 Hours Ago,Auto giant shares tumble on Trump’s tariff threat over Greenland,https://www.cnbc.com/2026/01/19/trump-tariffs-autos-greenland-volkswagen-stellantis.html
15 Hours Ago,The EU prepares to respond to Trump’s Greenland tariffs,https://www.cnbc.com/2026/01/19/cnbc-daily-open-the-eu-prepares-to-respond-to-trumps-greenland-tariffs.html
16 Hours Ago,European markets fall after Trump’s Greenland tariffs threat; autos sell off,https://www.cnbc.com/2026/01/19/european-markets-stoxx-600-ftse-dax-cac-davos-wef-week.html
16 Hours Ago,China birthrate shrinks to lowest on record as policies fail to to lift births,https://www.cnbc.com/2026/01/19/china-birthrate-record-low-aging-population-fertility-crisis.html
20 Hours Ago,"China fourth-quarter growth slows to 4.5%, weakest in nearly three years",https://www.cnbc.com/2026/01/19/china-q4-gdp-growth-2025-target-retail-sales-industrial-output-investment-income-employment.html
21 Hours Ago,What the U.S.-Taiwan deal means for the island’s ‘silicon shield’,https://www.cnbc.com/2026/01/19/us-taiwan-chip-deal-silicon-shield-tsmc-trump-tapei-ai-semiconductor-supply-chain.html
21 Hours Ago,Trump’s Greenland tariffs draw the EU into the fray,https://www.cnbc.com/2026/01/19/cnbc-daily-open-trumps-greenland-tariffs-draw-the-eu-into-the-fray.html
22 Hours Ago,"Billionaires are richer than ever, says Oxfam",https://www.cnbc.com/2026/01/19/billionaires-richer-than-ever-oxfam-inequality-report.html
22 Hours Ago,Hedge fund titans soar as industry’s elite lands record gain,https://www.cnbc.com/2026/01/19/hedge-fund-profit-billions-citadel-bridgewater-millennium-titan-elite-gains-dalio.html
22 Hours Ago,"He worked blue collar jobs to afford college—now, his startup is worth $8 billion",https://www.cnbc.com/2026/01/19/jack-zhang-helped-build-a-8-billion-fintech-startup-called-airwallex.html
